380.0,0.0
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.013167392
391.0,0.030210319
392.0,0.047253246
393.0,0.073777897
394.0,0.10138899
395.0,0.141729188
396.0,0.190692468
397.0,0.246850316
398.0,0.352012232
399.0,0.452241126
400.0,0.478919214
401.0,0.592816147
402.0,0.663811661
403.0,0.76788119
404.0,0.807426113
405.0,0.839348001
406.0,0.867121693
407.0,0.894895385
408.0,0.914176133
409.0,0.923267059
410.0,0.932357985
411.0,0.941130979
412.0,0.942949928
413.0,0.944768876
414.0,0.946587825
415.0,0.948406774
416.0,0.950225723
417.0,0.952044672
418.0,0.952813808
419.0,0.953072148
420.0,0.953330487
421.0,0.953588827
422.0,0.953621734
423.0,0.953627577
424.0,0.953633419
425.0,0.953639262
426.0,0.953645105
427.0,0.953650948
428.0,0.953656791
429.0,0.953662634
430.0,0.953668477
431.0,0.95367432
432.0,0.953680162
433.0,0.953686005
434.0,0.953691848
435.0,0.953697691
436.0,0.953703534
437.0,0.953709377
438.0,0.95371522
439.0,0.953721062
440.0,0.953726905
441.0,0.953732748
442.0,0.953738591
443.0,0.953744434
444.0,0.953750276
445.0,0.953756119
446.0,0.953761962
447.0,0.953767805
448.0,0.953773648
449.0,0.953779491
450.0,0.953785333
451.0,0.953791176
452.0,0.953797019
453.0,0.953802862
454.0,0.953808705
455.0,0.953814548
456.0,0.95382039
457.0,0.953826233
458.0,0.953832076
459.0,0.953837919
460.0,0.953843762
461.0,0.953849604
462.0,0.953855447
463.0,0.95386129
464.0,0.953867133
465.0,0.953872976
466.0,0.953878819
467.0,0.953884661
468.0,0.953890504
469.0,0.953896347
470.0,0.95390219
471.0,0.953908033
472.0,0.953913875
473.0,0.953919718
474.0,0.953925561
475.0,0.953931404
476.0,0.953937247
477.0,0.953943089
478.0,0.953948932
479.0,0.953954775
480.0,0.953960618
481.0,0.953966461
482.0,0.953972304
483.0,0.953978147
484.0,0.953983989
485.0,0.953989832
486.0,0.953995675
487.0,0.954001518
488.0,0.954007361
489.0,0.954013203
490.0,0.954019046
491.0,0.954024889
492.0,0.954030732
493.0,0.954036575
494.0,0.954042417
495.0,0.95404826
496.0,0.954054103
497.0,0.954059946
498.0,0.954065789
499.0,0.954071632
500.0,0.954077474
501.0,0.954083317
502.0,0.95408916
503.0,0.954095003
504.0,0.954100846
505.0,0.954106688
506.0,0.954112531
507.0,0.954118374
508.0,0.954124217
509.0,0.95413006
510.0,0.954135903
511.0,0.954141746
512.0,0.954147588
513.0,0.954153431
514.0,0.954159274
515.0,0.954165117
516.0,0.95417096
517.0,0.954176802
518.0,0.954182645
519.0,0.954188488
520.0,0.954194331
521.0,0.954200174
522.0,0.954206016
523.0,0.954211859
524.0,0.954217702
525.0,0.954223545
526.0,0.954229388
527.0,0.954235231
528.0,0.954241074
529.0,0.954246916
530.0,0.954252759
531.0,0.954258602
532.0,0.954264445
533.0,0.954270288
534.0,0.954276131
535.0,0.954281974
536.0,0.954287817
537.0,0.95429366
538.0,0.954299502
539.0,0.954305345
540.0,0.954311188
541.0,0.95431703
542.0,0.954322873
543.0,0.954328716
544.0,0.954334559
545.0,0.954340402
546.0,0.954346245
547.0,0.954352087
548.0,0.95435793
549.0,0.954363773
550.0,0.954369616
551.0,0.954375459
552.0,0.954381302
553.0,0.954387145
554.0,0.954392987
555.0,0.95439883
556.0,0.954404673
557.0,0.954410515
558.0,0.954416358
559.0,0.954422201
560.0,0.954428044
561.0,0.954433887
562.0,0.95443973
563.0,0.954445573
564.0,0.954451416
565.0,0.954457258
566.0,0.954463101
567.0,0.954468944
568.0,0.954474787
569.0,0.954676462
570.0,0.955079062
571.0,0.955481661
572.0,0.955884261
573.0,0.955909406
574.0,0.955782967
575.0,0.955656527
576.0,0.955530088
577.0,0.955403648
578.0,0.955277209
579.0,0.955150769
580.0,0.95502433
581.0,0.95489789
582.0,0.954771451
583.0,0.954645011
584.0,0.954717339
585.0,0.955119938
586.0,0.955522538
587.0,0.955925137
588.0,0.95601264
589.0,0.955886201
590.0,0.955759762
591.0,0.955633322
592.0,0.955506883
593.0,0.955380443
594.0,0.955254004
595.0,0.955127564
